algorithm,input_type,size,time_ms
insertion_sort,random,1000,0.178333
selection_sort,random,1000,1.44463
quick_sort,random,1000,0.04975
merge_sort,random,1000,0.264541
insertion_sort,random,5000,5.59621
selection_sort,random,5000,31.005
quick_sort,random,5000,0.327209
merge_sort,random,5000,0.426
insertion_sort,random,10000,9.9715
selection_sort,random,10000,104.612
quick_sort,random,10000,0.507125
merge_sort,random,10000,0.553542
insertion_sort,random,50000,173.2
selection_sort,random,50000,1664.34
quick_sort,random,50000,2.46687
merge_sort,random,50000,2.80892
insertion_sort,random,100000,645.465
selection_sort,random,100000,5738.57
quick_sort,random,100000,5.02513
merge_sort,random,100000,6.15767
insertion_sort,few_unique,1000,0.080792
selection_sort,few_unique,1000,1.01946
quick_sort,few_unique,1000,0.023166
merge_sort,few_unique,1000,0.063166
insertion_sort,few_unique,5000,1.85979
selection_sort,few_unique,5000,23.208
quick_sort,few_unique,5000,0.084041
merge_sort,few_unique,5000,0.284209
insertion_sort,few_unique,10000,5.70671
selection_sort,few_unique,10000,79.4258
quick_sort,few_unique,10000,0.17025
merge_sort,few_unique,10000,0.521875
insertion_sort,few_unique,50000,145.551
selection_sort,few_unique,50000,1635.27
quick_sort,few_unique,50000,0.783042
merge_sort,few_unique,50000,2.51954
insertion_sort,few_unique,100000,596.082
selection_sort,few_unique,100000,5696.38
quick_sort,few_unique,100000,1.88475
merge_sort,few_unique,100000,5.30537
insertion_sort,sorted,1000,0.000541
selection_sort,sorted,1000,1.07446
quick_sort,sorted,1000,0.007542
merge_sort,sorted,1000,0.046917
insertion_sort,sorted,5000,0.003583
selection_sort,sorted,5000,24.4287
quick_sort,sorted,5000,0.030542
merge_sort,sorted,5000,0.181375
insertion_sort,sorted,10000,0.003792
selection_sort,sorted,10000,80.096
quick_sort,sorted,10000,0.068875
merge_sort,sorted,10000,0.318125
insertion_sort,sorted,50000,0.018417
selection_sort,sorted,50000,1611.75
quick_sort,sorted,50000,0.333208
merge_sort,sorted,50000,1.67771
insertion_sort,sorted,100000,0.03675
selection_sort,sorted,100000,5562.68
quick_sort,sorted,100000,0.696708
merge_sort,sorted,100000,3.29287
insertion_sort,reversed,1000,0.162708
selection_sort,reversed,1000,1.00979
quick_sort,reversed,1000,0.007209
merge_sort,reversed,1000,0.043959
insertion_sort,reversed,5000,4.8465
selection_sort,reversed,5000,23.503
quick_sort,reversed,5000,0.03225
merge_sort,reversed,5000,0.199542
insertion_sort,reversed,10000,13.5146
selection_sort,reversed,10000,81.2944
quick_sort,reversed,10000,0.070125
merge_sort,reversed,10000,0.3385
insertion_sort,reversed,50000,320.184
selection_sort,reversed,50000,1830.59
quick_sort,reversed,50000,0.328792
merge_sort,reversed,50000,1.66346
insertion_sort,reversed,100000,1279.01
selection_sort,reversed,100000,6418.24
quick_sort,reversed,100000,0.729667
merge_sort,reversed,100000,3.34446
